,test_loss,test_f1_micro,test_f1_macro,test_hF1,test_f1_micro_ci_lower,test_f1_micro_ci_upper,test_f1_macro_ci_lower,test_f1_macro_ci_upper,test_hf1_ci_lower,test_hf1_ci_upper,test_runtime,test_samples_per_second,test_steps_per_second
42,0.07876605540513992,0.839888033589923,0.3722525509989359,0.8398946492930414,0.8264009069651543,0.8527536739454726,0.35366232552127896,0.3877825306654163,0.8262047110403864,0.8527932485098041,20.0323,59.254,1.897
1,0.07884536683559418,0.8409059038003085,0.379285398033461,0.8404620668123634,0.8267836737422706,0.8538537468459512,0.359679007686525,0.3945082934432322,0.8266179875217299,0.8536311632922245,20.2045,58.749,1.881
2,0.07893529534339905,0.8406701247721856,0.371013868012988,0.8406763184390516,0.8269901717561682,0.853643101381558,0.3518016095658739,0.3866257948019278,0.826707113784357,0.8535942142647579,20.0137,59.309,1.899
3,0.07919430732727051,0.839673246152228,0.3794786309614545,0.8395584559844489,0.8256027959520833,0.8533651422190138,0.35687904318068975,0.3963492573163175,0.8257488675875707,0.8532350520449037,19.7523,60.094,1.924
4,0.0791308730840683,0.8399607265586647,0.37402788832415246,0.8398848142108732,0.8262080485132908,0.8531698465380193,0.35494326030057294,0.3894461612032531,0.8261620130998666,0.853177559778596,19.6506,60.405,1.934
